2016-06-28 20:05:56,322 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: UpGrad:UpGrad:0.0.1-SNAPSHOT @ E:\SnapWorkSpace\UpGrad\UpGrad\UpGrad\pom.xml.
2016-06-28 20:05:56,856 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /UpGrad/src/main/java
2016-06-28 20:05:56,857 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /UpGrad/src/main/resources
2016-06-28 20:05:56,858 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /UpGrad/src/test/java
2016-06-28 20:05:56,858 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /UpGrad/src/test/resources
2016-06-28 20:05:57,107 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2016-06-28 20:05:57,391 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-28 20:05:57,393 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-28 20:05:57,396 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-28 20:05:57,398 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-28 20:06:29,690 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: UpGrad:UpGrad:0.0.1-SNAPSHOT @ E:\SnapWorkSpace\UpGrad\UpGrad\UpGrad\pom.xml.
2016-06-28 20:06:40,469 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/org/seleniumhq/selenium/selenium-java/2.53.0/selenium-java-2.53.0.jar
2016-06-28 20:06:50,471 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/org/seleniumhq/selenium/selenium-chrome-driver/2.53.0/selenium-chrome-driver-2.53.0.jar
2016-06-28 20:07:00,474 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/org/seleniumhq/selenium/selenium-remote-driver/2.53.0/selenium-remote-driver-2.53.0.jar
2016-06-28 20:07:10,582 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/cglib/cglib-nodep/2.1_3/cglib-nodep-2.1_3.jar
2016-06-28 20:07:20,586 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/com/google/code/gson/gson/2.3.1/gson-2.3.1.jar
2016-06-28 20:07:30,588 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/org/seleniumhq/selenium/selenium-api/2.53.0/selenium-api-2.53.0.jar
2016-06-28 20:07:40,708 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar
2016-06-28 20:07:50,712 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/org/apache/httpcomponents/httpcore/4.4.3/httpcore-4.4.3.jar
2016-06-28 20:08:00,715 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/com/google/guava/guava/19.0/guava-19.0.jar
